,O_lon_old,O_lat_old,D_lon_old,D_lat_old,O_lon,O_lat,D_lon,D_lat,District,O_time_relative,is_O_adjusted,is_D_adjusted
6976,-74.00814056396483,40.730430603027344,-73.97808074951173,40.74188995361328,-74.0023601,40.7282339,-73.97808074951173,40.74188995361328,2,3529.5,True,False
6977,-73.99633026123048,40.73302459716797,-73.99028778076173,40.75037384033203,-73.99633026123048,40.73302459716797,-73.9859434,40.7465313,2,3531.0,False,True
6978,-73.98961639404298,40.734371185302734,-74.00213623046875,40.73846054077149,-73.98961639404298,40.734371185302734,-73.9980019,40.7329485,2,3532.0,False,True
6979,-73.97567749023438,40.75239181518555,-73.9853515625,40.74163818359375,-73.9806695,40.7451276,-73.9853515625,40.74163818359375,2,3533.5,True,False
6980,-73.992919921875,40.736595153808594,-74.00021362304686,40.72050094604492,-73.992919921875,40.736595153808594,-73.9975736,40.7258712,2,3534.0,False,True
6981,-73.98018646240233,40.73897552490234,-73.9885025024414,40.73412704467773,-73.98018646240233,40.73897552490234,-73.9885025024414,40.73412704467773,2,3534.0,False,False
6982,-74.00272369384764,40.72868728637695,-73.99272155761719,40.73023223876953,-74.0023601,40.7282339,-73.99272155761719,40.73023223876953,2,3535.0,True,False
6983,-73.97601318359375,40.72447967529297,-73.98912048339844,40.73409271240234,-73.97601318359375,40.72447967529297,-73.98912048339844,40.73409271240234,2,3539.0,False,False
6984,-73.98432922363281,40.743179321289055,-73.977783203125,40.7547721862793,-73.98432922363281,40.743179321289055,-73.9822176,40.7457792,2,3539.0,False,True
6985,-73.98152160644531,40.74096298217773,-73.97609710693358,40.748512268066406,-73.98152160644531,40.74096298217773,-73.9806695,40.7451276,2,3539.0,False,True
6986,-73.97769165039062,40.73812103271485,-73.9724884033203,40.76240158081056,-73.97769165039062,40.73812103271485,-73.9806695,40.7451276,2,3543.0,False,True
6987,-73.99452209472656,40.7507209777832,-73.98873138427734,40.73704528808594,-73.9863915,40.7459215,-73.98873138427734,40.73704528808594,2,3543.0,True,False
6988,-73.98548889160156,40.7529182434082,-73.98291015625,40.73948287963867,-73.9859434,40.7465313,-73.98291015625,40.73948287963867,2,3543.5,True,False
6989,-74.00273895263672,40.72868347167969,-73.99634552001953,40.73792266845703,-74.0023601,40.7282339,-73.99634552001953,40.73792266845703,2,3543.5,True,False
6990,-73.9925765991211,40.74686813354492,-73.9901123046875,40.7252082824707,-73.9863915,40.7459215,-73.9901123046875,40.7252082824707,2,3544.5,True,False
6991,-73.9953384399414,40.726516723632805,-73.98894500732422,40.73669052124024,-73.9953384399414,40.726516723632805,-73.98894500732422,40.73669052124024,2,3545.0,False,False
6992,-73.98846435546875,40.723457336425774,-73.97433471679686,40.755008697509766,-73.98846435546875,40.723457336425774,-73.9806695,40.7451276,2,3546.0,False,True
6993,-73.97821044921875,40.748401641845696,-73.99646759033203,40.737808227539055,-73.9806695,40.7451276,-73.99646759033203,40.737808227539055,2,3546.0,True,False
6994,-73.98705291748048,40.73940658569336,-73.99736022949219,40.72507858276367,-73.98705291748048,40.73940658569336,-73.9967146,40.7255012,2,3547.0,False,True
6995,-73.98745727539062,40.73881149291992,-73.96949005126953,40.7627410888672,-73.98745727539062,40.73881149291992,-73.9806695,40.7451276,2,3548.0,False,True
6996,-73.98040008544923,40.74274826049805,-73.98258209228516,40.72284698486328,-73.98040008544923,40.74274826049805,-73.98258209228516,40.72284698486328,2,3548.0,False,False
6997,-73.9782943725586,40.74163436889648,-73.98941040039062,40.736061096191406,-73.9782943725586,40.74163436889648,-73.98941040039062,40.736061096191406,2,3549.0,False,False
6998,-73.98919677734375,40.73081970214844,-73.98381805419923,40.721538543701165,-73.98919677734375,40.73081970214844,-73.98381805419923,40.721538543701165,2,3551.0,False,False
6999,-73.98436737060547,40.72897720336913,-73.96965789794923,40.762840270996094,-73.98436737060547,40.72897720336913,-73.9806695,40.7451276,2,3551.0,False,True
7000,-74.00686645507811,40.716400146484375,-73.98925018310547,40.73414611816406,-74.0013516,40.7277329,-73.98925018310547,40.73414611816406,2,3551.0,True,False
7001,-73.99156951904298,40.731590270996094,-74.00552368164062,40.72718048095703,-73.99156951904298,40.731590270996094,-74.0023601,40.7282339,2,3554.0,False,True
7002,-73.98822021484375,40.754390716552734,-73.98477172851561,40.737060546875,-73.9859434,40.7465313,-73.98477172851561,40.737060546875,2,3554.5,True,False
7003,-73.98686218261719,40.720996856689446,-73.98740386962889,40.741653442382805,-73.9862671,40.7222849,-73.98740386962889,40.741653442382805,2,3555.5,True,False
7004,-73.9784164428711,40.72963333129882,-73.98902130126953,40.73956680297852,-73.9780286,40.7294404,-73.98902130126953,40.73956680297852,2,3556.5,True,False
7005,-74.00508880615233,40.73722457885742,-73.99586486816406,40.7264518737793,-74.0014113,40.7310625,-73.99586486816406,40.7264518737793,2,3556.5,True,False
7006,-73.98519897460938,40.74190139770508,-73.99945068359375,40.728763580322266,-73.98519897460938,40.74190139770508,-73.99945068359375,40.728763580322266,2,3557.0,False,False
7007,-74.00127410888672,40.73116683959961,-73.98868560791014,40.71139144897461,-74.00127410888672,40.73116683959961,-73.9831408,40.7171684,2,3559.0,False,True
7008,-73.98908233642578,40.7366600036621,-74.00706481933594,40.74180603027344,-73.98908233642578,40.7366600036621,-74.0014113,40.7310625,2,3559.0,False,True
7009,-73.98027801513672,40.73896026611328,-74.01808929443358,40.7061882019043,-73.98027801513672,40.73896026611328,-74.0023601,40.7282339,2,3564.0,False,True
7010,-73.99249267578125,40.7375602722168,-73.99639892578125,40.737300872802734,-73.9936325,40.7360074,-73.99639892578125,40.737300872802734,2,3565.0,True,False
7011,-73.9916763305664,40.75000762939453,-73.98523712158203,40.74463272094727,-73.9863915,40.7459215,-73.98523712158203,40.74463272094727,2,3565.5,True,False
7012,-73.99716949462889,40.73699188232422,-73.98504638671875,40.72394943237305,-73.9946012,40.7346805,-73.98504638671875,40.72394943237305,2,3567.0,True,False
7013,-73.97874450683594,40.74102783203125,-73.98916625976561,40.733436584472656,-73.97874450683594,40.74102783203125,-73.98916625976561,40.733436584472656,2,3567.0,False,False
7014,-73.98361206054686,40.7382698059082,-73.97071075439453,40.75254821777344,-73.98361206054686,40.7382698059082,-73.9772763,40.7428905,2,3567.0,False,True
7015,-73.9773712158203,40.73886489868164,-73.97352600097656,40.752323150634766,-73.9773712158203,40.73886489868164,-73.9806695,40.7451276,2,3568.0,False,True
7016,-73.99101257324217,40.73388671875,-74.00035095214845,40.72871780395508,-73.99101257324217,40.73388671875,-74.00035095214845,40.72871780395508,2,3568.0,False,False
7017,-73.99190521240233,40.73109817504882,-73.9833984375,40.722026824951165,-73.99190521240233,40.73109817504882,-73.9833984375,40.722026824951165,2,3568.0,False,False
7018,-73.9856948852539,40.73122024536133,-73.97828674316406,40.75112533569336,-73.9856948852539,40.73122024536133,-73.9806695,40.7451276,2,3571.0,False,True
7019,-73.99175262451173,40.74999237060546,-73.98983764648438,40.7258186340332,-73.9863915,40.7459215,-73.98983764648438,40.7258186340332,2,3576.0,True,False
7020,-73.97644805908203,40.75087738037109,-73.98555755615233,40.735347747802734,-73.9806695,40.7451276,-73.98555755615233,40.735347747802734,2,3579.0,True,False
7021,-73.99263000488281,40.72396087646485,-73.99166870117188,40.72657012939453,-73.9925309,40.7241972,-73.99166870117188,40.72657012939453,2,3579.0,True,False
7022,-73.97988891601561,40.74087142944336,-73.99244689941406,40.74628829956056,-73.97988891601561,40.74087142944336,-73.9863915,40.7459215,2,3580.0,False,True
7023,-73.98124694824217,40.742149353027344,-73.9724884033203,40.7592887878418,-73.98124694824217,40.742149353027344,-73.9806695,40.7451276,2,3581.0,False,True
7024,-73.99481201171875,40.73438262939453,-74.01410675048828,40.713863372802734,-73.99481201171875,40.73438262939453,-74.0023601,40.7282339,2,3583.0,False,True
7025,-73.98088073730467,40.747596740722656,-73.99249267578125,40.73736953735352,-73.9822176,40.7457792,-73.99249267578125,40.73736953735352,2,3584.0,True,False
7026,-73.97991180419923,40.73492431640625,-73.98246002197266,40.750144958496094,-73.97991180419923,40.73492431640625,-73.9822176,40.7457792,2,3584.0,False,True
7027,-73.99266815185547,40.73045349121094,-73.9789810180664,40.75085067749024,-73.99266815185547,40.73045349121094,-73.9806695,40.7451276,2,3584.0,False,True
7028,-73.98896026611328,40.7412338256836,-73.9733123779297,40.760990142822266,-73.98896026611328,40.7412338256836,-73.9806695,40.7451276,2,3586.0,False,True
7029,-73.98368072509764,40.74993515014648,-73.99256896972656,40.7253303527832,-73.9859434,40.7465313,-73.99256896972656,40.7253303527832,2,3588.5,True,False
7030,-73.96424865722656,40.7679557800293,-73.98565673828125,40.74130630493164,-73.9806695,40.7451276,-73.98565673828125,40.74130630493164,2,3590.0,True,False
7031,-73.99047088623048,40.73081207275391,-73.99015045166014,40.740398406982415,-73.99047088623048,40.73081207275391,-73.9895636,40.7398722,2,3590.0,False,True
7032,-73.99304962158203,40.757694244384766,-73.99004364013672,40.72793197631836,-73.9859434,40.7465313,-73.99004364013672,40.72793197631836,2,3591.5,True,False
7033,-74.00437927246092,40.70741653442384,-73.99466705322266,40.72502136230469,-73.9967146,40.7255012,-73.99466705322266,40.72502136230469,2,3592.5,True,False
